OperatorTerminal,Description,IPAddress,WorkplaceID,BehaviorDescription,OrderStatus,BoPExecution,QG,Kitting,WorkplaceNId,LayoutEnum,Layout,Workplace,OrderType,OrderStatusFilter,ShowToBeActivated,SortingParam,FilterByLine,GridListView,EnableESOnWorkplaceEnter,AutoassignSerialNumber,ClientDef_NId,ShowReworkCompleted,DisplayRejectionReasons,AllowCellManagement,IsMultyOrderSelection,CanChangeWorkplace,DisplayDCOButton,DisplayUndoOperationOT,AutoExitWorkplace,AutoassignWhiteListCheck,ProductionLine,SearchDryingTask,FastDefectOpening,AutoassignChangeWorkplace,SetOrderLocChangeWorkplace,DisplayFixDefectButtons,UseNewDefectUI,UseNewSilhouetteUI,UseMaterialCallFromLineSideUI,CheckLoadingSequence,CheckProcessingSequence,DisplayOrderMeasurement,Id,NodeID
3201_GAFL21QC,3201_GAFL21QC,10.98.96.95,3e95799e-fca7-f011-8491-000c2997d9e5,Order Status + BoP Execution + QG,1,2,4,0,3201_GAFL21QC,1,OneColumn,FL,,,false,,false,false,false,false,3201_GAFL21QC,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,35b76bee-a9bb-f011-848f-000c29eabf5a,3a95799e-fca7-f011-8491-000c2997d9e5
3201_GADL03LH,3201_GADL03LH,10.98.96.145,1de08ece-2198-f011-bb24-06f36d7313c7,BoP Execution,0,2,0,0,3201_GADL03RH,1,OneColumn,3201_EC1V_2025 RHD INDO,,,false,,false,false,false,false,3201_GADL03LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,52496d78-b0bb-f011-8494-000c2997d9e5,19e08ece-2198-f011-bb24-06f36d7313c7
3201_GAPM03QC,3201_GAPM03QC,10.98.96.48,b3d2cad5-2699-f011-bb23-06f9abf5195b,Order Status + BoP Execution + QG,1,2,4,0,3201_GAPM03QC,1,OneColumn,PM,CAR,,false,,false,false,false,false,3201_GAPM03QC,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,876c02fe-bbbb-f011-848f-000c29eabf5a,afd2cad5-2699-f011-bb23-06f9abf5195b
3201_GACA01RH,3201_GACA01RH,10.98.96.90,77a25905-bda8-f011-848c-000c29e9263e,Order Status + BoP Execution + QG,1,2,4,0,3201_GACA01RH,1,OneColumn,CA,,,false,,false,false,false,false,3201_GACA01RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,9f8f3c7f-16ba-f011-848c-000c2946f184,73a25905-bda8-f011-848c-000c29e9263e
3201_GAPM03LH,3201_GAPM03LH,10.98.96.88,409f5fe3-3498-f011-bb24-06f36d7313c7,BoP Execution +  QG,0,2,4,0,3201_GAPM03LH,1,OneColumn,PM,,,false,,false,false,false,false,3201_GAPM03LH,false,false,false,false,false,false,true,false,false,,false,false,false,false,false,false,false,false,false,false,false,5c6a7545-ebba-f011-8494-000c2997d9e5,3c9f5fe3-3498-f011-bb24-06f36d7313c7
3201_GAC215RH,3201_GAC215RH,10.98.96.32,40689f3d-f098-f011-bb25-0662523cfec5,BoP Execution,0,2,0,0,3201_GAC215RH,1,OneColumn,3201_EA15_2025 RHD INDO,,,false,,false,false,false,false,3201_GAC215RH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,5fa5b3b7-7abb-f011-8491-000c29e9263e,3c689f3d-f098-f011-bb25-0662523cfec5
3201_GAC103RH,3201_GAC103RH,10.98.96.8,9bf7f7d7-8497-f011-bb24-06f36d7313c7,BoP Execution +  QG,0,2,4,0,3201_GAC103RH,1,OneColumn,C1,,,false,,false,false,false,false,3201_GAC103RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,ad556526-82bb-f011-848f-000c29eabf5a,97f7f7d7-8497-f011-bb24-06f36d7313c7
3201_GAC218QC,3201_GAC218QC,10.98.96.80,fcf11da3-fca7-f011-848c-000c29eabf5a,Order Status + BoP Execution + QG,1,2,4,0,3201_GAC218QC,1,OneColumn,C2,,,false,,false,false,false,false,3201_GAC218QC,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,d902fba3-87bb-f011-848f-000c29eabf5a,f8f11da3-fca7-f011-848c-000c29eabf5a
3201_GASR0001,3201_GASR0001,10.98.96.66,1279b30b-7db1-f011-848c-000c295d53d9,Order Status + BoP Execution + QG,1,2,4,0,3201_GASR0001,1,OneColumn,SR,,,false,,false,false,false,false,3201_GASR0001,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,d01ee821-abbb-f011-8491-000c29e9263e,0e79b30b-7db1-f011-848c-000c295d53d9
3201_GAVCVC01,3201_GAVCVC01,10.98.96.59,7fbe3856-e1a8-f011-8489-000c2946f184,Order Status + BoP Execution + QG,1,2,4,0,3201_GAVCVC01,1,OneColumn,VC,,,false,,false,false,false,false,3201_GAVCVC01,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,fa3d6f74-b5bb-f011-848f-000c29eabf5a,7bbe3856-e1a8-f011-8489-000c2946f184
